Date,Close,Open,High,Low
2025-06-12,99.52330298310447,99.46539074504062,99.54646787833,99.44222584981509
2025-06-13,98.13240679944484,99.52330298310447,100.07966145656833,97.57604832598098
2025-06-16,98.27127188754767,98.13240679944484,98.3268179227888,98.0768607642037
2025-06-17,97.89195071465858,98.27127188754767,98.42300035670331,97.74022224550293
2025-06-18,98.5749490944582,97.89195071465858,98.84814844637806,97.61875136273872
2025-06-20,98.51505750465887,98.5749490944582,98.59890573037794,98.49110086873914
2025-06-23,99.68265301519305,98.51505750465887,100.14969121940673,98.04801930044519
2025-06-24,99.78075506433511,99.68265301519305,99.81999588399194,99.64341219553623
2025-06-25,97.57784136071886,99.78075506433511,100.66192054578161,96.69667587927236
2025-06-26,98.79520994092263,97.57784136071886,99.28215737300414,97.09089392863736
2025-06-27,98.76018656873471,98.79520994092263,98.8092192897978,98.74617721985955
2025-06-30,98.90712375253167,98.76018656873471,98.96589862605046,98.70141169521592
2025-07-01,99.8427259481002,98.90712375253167,100.2169668263276,98.53288287430426
2025-07-02,100.70784664491168,99.8427259481002,101.05389492363628,99.4966776693756
2025-07-03,101.06640155748785,100.70784664491168,101.20982352251832,100.56442467988121
2025-07-07,99.70720910074162,101.06640155748785,101.61007854018634,99.16353211804314
2025-07-08,99.87515652505475,99.70720910074162,99.94233549478,99.64003013101637
2025-07-09,100.16130888215018,99.87515652505475,100.27576982498836,99.76069558221657
2025-07-10,101.06393040691313,100.16130888215018,101.42497901681831,99.800260272245
2025-07-11,101.14819328703194,101.06393040691313,101.18189843907948,101.0302252548656
2025-07-14,101.6140490302928,101.14819328703194,101.80039132759715,100.9618509897276
2025-07-15,99.73342628354945,101.6140490302928,102.36629812899015,98.9811771848521
2025-07-16,100.47525291570881,99.73342628354945,100.77198356857255,99.4366956306857
2025-07-17,99.92028197478379,100.47525291570881,100.69724129207881,99.69829359841378
2025-07-18,99.97698490335004,99.92028197478379,99.99966607477654,99.89760080335729
2025-07-21,100.20666231062982,99.97698490335004,100.29853327354174,99.88511394043813
2025-07-22,102.05735713097965,100.20666231062982,102.79763505911959,99.46638438248989
2025-07-23,102.40831079677879,102.05735713097965,102.54869226309845,101.91697566466
2025-07-24,101.71985086131676,102.40831079677879,102.68369477096361,101.44446688713194
2025-07-25,101.85640835787821,101.71985086131676,101.91103135650279,101.66522786269218
2025-07-28,100.53152536251343,101.85640835787821,102.38636155602411,100.00157216436753
2025-07-29,102.14696058304114,100.53152536251343,102.79313467125222,99.88535127430235
2025-07-30,100.8503824376892,102.14696058304114,102.66559184118191,100.33175117954843
2025-07-31,100.05454376568676,100.8503824376892,101.16871790649019,99.73620829688578
