Date,Close,Open,High,Low
2025-06-23,98.7815884851926,97.81026708990976,98.95891823448136,97.70384678920486
2025-06-24,98.42807424026752,98.7815884851926,98.91632017560688,98.2395892298518
2025-06-25,98.15314734560822,98.42807424026752,98.56504261857074,97.95802656448762
2025-06-26,101.43300963763163,98.15314734560822,101.59528880623229,97.95901752441077
2025-06-27,99.12219557330668,101.43300963763163,101.56821557453816,98.9521974017907
2025-06-30,99.62188997369083,99.12219557330668,99.77811959533403,98.9684958685846
2025-07-01,100.19071660054068,99.62188997369083,100.303095607142,99.5185878983398
2025-07-02,103.62361199067082,100.19071660054068,103.73866333799388,100.03957455860193
2025-07-03,104.55238020447793,103.62361199067082,104.76144696808791,103.48357070390246
2025-07-07,104.28371065091342,104.55238020447793,104.67518790821585,104.16759153808026
2025-07-08,103.86446631970358,104.28371065091342,104.42433255750441,103.657165056058
2025-07-09,104.59118410695598,103.86446631970358,104.77877558323154,103.66113927868979
2025-07-10,109.0000128328797,104.59118410695598,109.11364863377092,104.46605862188018
2025-07-11,110.71978922453806,109.0000128328797,110.89261255099844,108.79001289910289
2025-07-14,111.4164809123452,110.71978922453806,111.6311324332979,110.52630568641464
2025-07-15,112.03486609812894,111.4164809123452,112.25361475252491,111.22952070318269
2025-07-16,112.03663651951454,112.03486609812894,112.25019925093572,111.88335667999684
2025-07-17,113.87160382689024,112.03663651951454,114.07185193991126,111.83862456398066
2025-07-18,113.18748845234497,113.87160382689024,113.999504470455,113.0109430116964
2025-07-21,115.27618591239839,113.18748845234497,115.47025063518566,113.01872845156176
2025-07-22,117.8042572267412,115.27618591239839,117.94839759023992,115.15127204615052
2025-07-23,117.96857977551855,117.8042572267412,118.12981948504982,117.56890325773809
2025-07-24,116.0624984815224,117.96857977551855,118.16123578071755,115.93853571966567
2025-07-25,114.89491422547205,116.0624984815224,116.25845155819705,114.74251310612635
2025-07-28,112.51349944883604,114.89491422547205,115.07181078914708,112.30969933426972
2025-07-29,110.64522930661953,112.51349944883604,112.70220440731609,110.43930669678058
2025-07-30,106.43967469370399,110.64522930661953,110.81225836276073,106.30090317541327
2025-07-31,106.16723831018705,106.43967469370399,106.56078599789207,106.05786483387936
2025-08-01,105.41725926274867,106.16723831018705,106.33181149248158,105.30112113701031
2025-08-04,108.45714249287752,105.41725926274867,108.61999805970088,105.26968776230048
2025-08-05,110.59471788917294,108.45714249287752,110.80979760832004,108.30933925228962
